# Histogrammed data for fix 14
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
309 16.425 55821.6 5.63457e-05
310 16.475 44253.1 4.46686e-05
311 16.525 10450.1 1.05482e-05
312 16.575 62685.6 6.32742e-05
313 16.625 55440.5 5.5961e-05
314 16.675 0 0
315 16.725 8483.92 8.56358e-06
316 16.775 15654.6 1.58016e-05
317 16.825 36801.4 3.71469e-05
318 16.875 53543.9 5.40466e-05
319 16.925 24060.3 2.42862e-05
320 16.975 103072 0.00010404
321 17.025 0 0
322 17.075 15653.6 1.58006e-05
323 17.125 72760.8 7.3444e-05
324 17.175 57048.1 5.75837e-05
325 17.225 17126 1.72868e-05
326 17.275 0 0
327 17.325 62589.9 6.31775e-05
328 17.375 10938.2 1.10409e-05
329 17.425 0 0
330 17.475 1351.43 1.36412e-06
331 17.525 17086.3 1.72468e-05
332 17.575 73433.8 7.41232e-05
333 17.625 46454.4 4.68905e-05
334 17.675 32866.5 3.31751e-05
335 17.725 34099.8 3.44199e-05
336 17.775 0 0
337 17.825 19817.2 2.00033e-05
338 17.875 42472.7 4.28714e-05
339 17.925 24382 2.46109e-05
340 17.975 25525.9 2.57656e-05
341 18.025 44232.3 4.46476e-05
342 18.075 56640.6 5.71724e-05
343 18.125 0 0
344 18.175 7406.82 7.47636e-06
345 18.225 65642.5 6.62588e-05
346 18.275 28065.9 2.83294e-05
347 18.325 15194.1 1.53367e-05
348 18.375 16940.2 1.70992e-05
349 18.425 47571.1 4.80177e-05
350 18.475 0 0
351 18.525 28833 2.91038e-05
352 18.575 21647 2.18502e-05
353 18.625 26154.2 2.63997e-05
354 18.675 27457.4 2.77152e-05
355 18.725 49480.9 4.99455e-05
356 18.775 30961.2 3.12519e-05
357 18.825 0 0
358 18.875 10890.5 1.09928e-05
359 18.925 35850.5 3.61871e-05
360 18.975 16339.5 1.64929e-05
361 19.025 33405.3 3.37189e-05
362 19.075 22110.2 2.23178e-05
363 19.125 61443.2 6.20201e-05
364 19.175 0 0
365 19.225 3320.47 3.35165e-06
366 19.275 70383.1 7.10439e-05
367 19.325 9405.9 9.49421e-06
368 19.375 14936.8 1.5077e-05
369 19.425 30523.5 3.08101e-05
370 19.475 19608.6 1.97927e-05
371 19.525 0 0
372 19.575 29883.5 3.01641e-05
373 19.625 20696.1 2.08904e-05
374 19.675 19213.9 1.93943e-05
375 19.725 38602.1 3.89645e-05
376 19.775 25343.6 2.55815e-05
377 19.825 0 0
378 19.875 18203.3 1.83742e-05
379 19.925 22512.5 2.27238e-05
380 19.975 50478.6 5.09525e-05
381 20.025 0 0
382 20.075 7108.91 7.17565e-06
383 20.125 31663.1 3.19604e-05
384 20.175 281.475 2.84118e-07
385 20.225 28321.7 2.85876e-05
386 20.275 14454.2 1.45899e-05
387 20.325 26832.9 2.70848e-05
388 20.375 29434.7 2.9711e-05
389 20.425 7918.78 7.99313e-06
390 20.475 0 0
391 20.525 25178.4 2.54148e-05
392 20.575 28121.2 2.83853e-05
393 20.625 5881.03 5.93625e-06
394 20.675 4096.91 4.13538e-06
395 20.725 57914.7 5.84585e-05
396 20.775 0 0
397 20.825 4685 4.72899e-06
398 20.875 27612.5 2.78718e-05
399 20.925 14680.9 1.48187e-05
400 20.975 10237.1 1.03333e-05
401 21.025 9649.07 9.73966e-06
402 21.075 18513.6 1.86874e-05
403 21.125 4426.89 4.46845e-06
404 21.175 28251.5 2.85167e-05
405 21.225 16961.3 1.71205e-05
406 21.275 0 0
407 21.325 21742.6 2.19467e-05
408 21.375 16233.7 1.63861e-05
409 21.425 3976.73 4.01407e-06
410 21.475 9496.72 9.58589e-06
411 21.525 32717.7 3.30249e-05
412 21.575 5292.86 5.34255e-06
413 21.625 19318.2 1.94995e-05
414 21.675 15500.4 1.56459e-05
415 21.725 12089.2 1.22027e-05
416 21.775 19117 1.92965e-05
417 21.825 21415.9 2.1617e-05
418 21.875 5784.1 5.8384e-06
419 21.925 7610.49 7.68194e-06
420 21.975 13423.5 1.35496e-05
421 22.025 1190.11 1.20128e-06
422 22.075 34349 3.46715e-05
423 22.125 6295.9 6.35501e-06
424 22.175 7413.12 7.48272e-06
425 22.225 20270.9 2.04613e-05
426 22.275 0 0
427 22.325 3530.56 3.56371e-06
428 22.375 34576.6 3.49012e-05
429 22.425 9776.87 9.86866e-06
430 22.475 10694.1 1.07945e-05
431 22.525 10206.1 1.03019e-05
432 22.575 0 0
433 22.625 20125.1 2.0314e-05
434 22.675 5068.41 5.11599e-06
435 22.725 14613.8 1.4751e-05
436 22.775 12840.2 1.29608e-05
437 22.825 17287.6 1.74499e-05
438 22.875 4373.13 4.41419e-06
439 22.925 18761.5 1.89376e-05
440 22.975 13237.9 1.33622e-05
441 23.025 4633.05 4.67654e-06
442 23.075 14603.9 1.47411e-05
443 23.125 1105 1.11538e-06
444 23.175 3881.5 3.91794e-06
445 23.225 16621.8 1.67779e-05
446 23.275 10841.8 1.09436e-05
447 23.325 23840.9 2.40648e-05
448 23.375 14794.4 1.49333e-05
449 23.425 7166.7 7.23399e-06
450 23.475 7379.49 7.44878e-06
451 23.525 8172.94 8.24967e-06
452 23.575 6001.43 6.05778e-06
453 23.625 10673.3 1.07735e-05
454 23.675 13350.1 1.34755e-05
455 23.725 2235.08 2.25607e-06
456 23.775 24808.8 2.50417e-05
457 23.825 5447.43 5.49857e-06
458 23.875 15604.2 1.57507e-05
459 23.925 5601.2 5.65379e-06
460 23.975 6726.85 6.79e-06
461 24.025 7503.86 7.57431e-06
462 24.075 17251 1.74129e-05
463 24.125 3306.3 3.33734e-06
464 24.175 23995.3 2.42206e-05
465 24.225 0 0
466 24.275 15592.8 1.57392e-05
467 24.325 7011.16 7.07699e-06
468 24.375 13433.9 1.356e-05
469 24.425 6311.74 6.371e-06
470 24.475 19773.3 1.99589e-05
471 24.525 4570.54 4.61345e-06
472 24.575 21546.1 2.17484e-05
473 24.625 3612.3 3.64621e-06
474 24.675 13216.9 1.3341e-05
475 24.725 5076.71 5.12437e-06
476 24.775 835.889 8.43737e-07
477 24.825 4631.59 4.67508e-06
478 24.875 18023.3 1.81925e-05
479 24.925 3496.4 3.52923e-06
480 24.975 24284.8 2.45128e-05
481 25.025 0 0
482 25.075 13776.7 1.39061e-05
483 25.125 5749.33 5.80331e-06
484 25.175 12734.1 1.28537e-05
485 25.225 14536.4 1.46729e-05
486 25.275 0 0
487 25.325 12634.3 1.27529e-05
488 25.375 10226.3 1.03223e-05
489 25.425 9828.38 9.92066e-06
490 25.475 11526 1.16342e-05
491 25.525 9436.2 9.5248e-06
492 25.575 3247.36 3.27785e-06
493 25.625 16816.6 1.69745e-05
494 25.675 6670.07 6.73269e-06
495 25.725 10466.4 1.05647e-05
496 25.775 10715.5 1.08162e-05
497 25.825 2506.19 2.52972e-06
498 25.875 7751.27 7.82404e-06
499 25.925 11980.4 1.20929e-05
500 25.975 5430.39 5.48137e-06
501 26.025 4517.68 4.56009e-06
502 26.075 2942.85 2.97048e-06
503 26.125 25348 2.5586e-05
504 26.175 2002.5 2.0213e-06
505 26.225 10865.1 1.09671e-05
506 26.275 6397.69 6.45776e-06
507 26.325 1388.28 1.40132e-06
508 26.375 13828.3 1.39581e-05
509 26.425 6748.28 6.81164e-06
510 26.475 8503.96 8.5838e-06
511 26.525 3143.27 3.17278e-06
512 26.575 5855.8 5.91078e-06
513 26.625 13759.1 1.38883e-05
514 26.675 4189.52 4.22886e-06
515 26.725 3272.46 3.30318e-06
516 26.775 14039 1.41708e-05
517 26.825 9148.26 9.23415e-06
518 26.875 8702.94 8.78465e-06
519 26.925 8391.53 8.47032e-06
520 26.975 10319.5 1.04163e-05
521 27.025 0 0
522 27.075 5599.44 5.65201e-06
523 27.125 14689.6 1.48275e-05
524 27.175 2711.81 2.73728e-06
525 27.225 15124.8 1.52669e-05
526 27.275 0 0
527 27.325 7340.25 7.40916e-06
528 27.375 9856.41 9.94895e-06
529 27.425 9972.34 1.0066e-05
530 27.475 8814.51 8.89726e-06
531 27.525 2153.56 2.17378e-06
532 27.575 11327.4 1.14337e-05
533 27.625 3858.96 3.89519e-06
534 27.675 7495.95 7.56633e-06
535 27.725 3387.63 3.41943e-06
536 27.775 1450.59 1.46421e-06
537 27.825 16907.1 1.70659e-05
538 27.875 5275.38 5.32491e-06
539 27.925 7177.58 7.24497e-06
540 27.975 9666.43 9.75718e-06
541 28.025 10183.2 1.02788e-05
542 28.075 11996.7 1.21093e-05
543 28.125 1186.03 1.19716e-06
544 28.175 16580 1.67357e-05
545 28.225 0 0
546 28.275 8912.36 8.99604e-06
547 28.325 6282.51 6.34149e-06
548 28.375 10893.8 1.0996e-05
549 28.425 4546.04 4.58872e-06
550 28.475 4810.24 4.85541e-06
551 28.525 12611.8 1.27302e-05
552 28.575 3099 3.12809e-06
553 28.625 17620.4 1.77858e-05
554 28.675 0 0
555 28.725 6520.01 6.58122e-06
556 28.775 11570.7 1.16794e-05
557 28.825 9085.77 9.17107e-06
558 28.875 5826.67 5.88137e-06
559 28.925 1413.24 1.4265e-06
560 28.975 15064 1.52054e-05
561 29.025 7464.83 7.53492e-06
562 29.075 7227.33 7.29519e-06
563 29.125 4397.26 4.43854e-06
564 29.175 5656.5 5.70961e-06
565 29.225 15936.6 1.60863e-05
566 29.275 2036.33 2.05545e-06
567 29.325 10153.5 1.02488e-05
568 29.375 4291.18 4.33147e-06
569 29.425 7433.93 7.50372e-06
570 29.475 6028.62 6.08522e-06
571 29.525 3039.42 3.06796e-06
572 29.575 8907.27 8.9909e-06
573 29.625 10564.7 1.06639e-05
574 29.675 9789.45 9.88136e-06
575 29.725 13181.7 1.33055e-05
576 29.775 4827.32 4.87264e-06
577 29.825 3236.17 3.26656e-06
578 29.875 9211.52 9.298e-06
579 29.925 4578.64 4.62162e-06
580 29.975 13908.7 1.40393e-05
581 30.025 0 0
582 30.075 6176.54 6.23453e-06
583 30.125 8296.15 8.37404e-06
584 30.175 6796.81 6.86062e-06
585 30.225 8966.24 9.05042e-06
586 30.275 11635.6 1.17449e-05
587 30.325 4589.46 4.63254e-06
588 30.375 3668.19 3.70263e-06
589 30.425 10951 1.10539e-05
590 30.475 750.377 7.57422e-07
591 30.525 7209.35 7.27703e-06
592 30.575 6647.57 6.70998e-06
593 30.625 9290.56 9.37779e-06
594 30.675 5380.8 5.43132e-06
595 30.725 11720.1 1.18301e-05
596 30.775 9689.26 9.78023e-06
597 30.825 5346.5 5.39669e-06
598 30.875 5471.91 5.52328e-06
599 30.925 7335.74 7.40462e-06
600 30.975 12417.1 1.25337e-05
601 31.025 4047.25 4.08525e-06
602 31.075 6243.57 6.30219e-06
603 31.125 2423.83 2.44658e-06
604 31.175 14288 1.44222e-05
605 31.225 3316.46 3.34759e-06
606 31.275 11213.8 1.13191e-05
607 31.325 2023.42 2.04242e-06
608 31.375 7822.06 7.8955e-06
